iter	Passed	Remaining
0	3	307
1	5	263
2	7	253
3	10	245
4	12	242
5	14	228
6	16	222
7	18	216
8	20	211
9	23	211
10	24	197
11	25	188
12	26	178
13	28	174
14	29	167
15	30	161
16	32	159
17	34	157
18	36	154
19	37	150
20	38	145
21	40	141
22	40	137
23	42	134
24	44	133
25	46	131
26	47	129
27	49	126
28	50	123
29	52	121
30	52	117
31	54	115
32	55	112
33	56	108
34	56	105
35	57	102
36	58	99
37	58	96
38	59	93
39	60	90
40	61	88
41	61	85
42	62	83
43	63	80
44	64	78
45	64	75
46	65	73
47	66	72
48	67	70
49	68	68
50	69	66
51	70	64
52	70	62
53	71	60
54	71	58
55	72	56
56	73	55
57	73	53
58	74	51
59	75	50
60	75	48
61	76	46
62	76	45
63	78	44
64	79	42
65	80	41
66	82	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	91	28
76	91	27
77	92	26
78	93	24
79	93	23
80	94	22
81	94	20
82	96	19
83	97	18
84	98	17
85	98	16
86	99	14
87	99	13
88	100	12
89	101	11
90	102	10
91	102	8
92	103	7
93	104	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
